batch:10  lambda:100
epoch,dis_loss,gan_mae,gan_entropy,vgan_mae,vgan_entropy
447,1.10578,2.4917,2.61164,4.07536,4.14025
448,0.953169,2.62731,2.53441,2.64224,2.87234
449,0.781098,2.6933,2.80283,8.03359,7.9053
450,0.520483,2.18375,2.13595,5.76977,5.71128
451,1.0974,2.55794,2.42979,5.37018,5.2818
452,1.0348,2.34719,2.31813,9.24306,9.27454
453,0.792393,2.53309,2.51474,3.70519,3.70856
454,0.933939,2.27173,2.27756,3.48932,3.5431
455,0.695259,2.38315,2.3052,2.89476,2.94778
456,0.705074,2.26849,2.53488,9.69631,9.7449
457,0.853568,2.0662,2.05318,4.22763,4.21881
458,1.05865,2.27204,2.25293,3.43394,3.53887
459,0.580293,2.50859,2.41964,3.32956,3.31996
460,0.970607,2.89069,2.85047,8.97556,9.08525
461,1.0703,2.14024,2.15483,3.73492,3.69226
462,1.06515,2.61888,2.61307,3.1679,3.17844
463,0.987786,2.53021,2.36059,4.00573,4.18946
464,1.10398,2.66289,2.74044,7.91499,7.81203
465,1.17357,2.27938,2.43714,3.29066,3.28256
466,0.85414,2.42995,2.43046,3.50712,3.46453
467,1.09273,2.31136,2.2771,3.24457,3.37711
468,1.11648,2.53957,2.53809,3.60058,3.62005
469,1.02707,2.15634,2.34093,4.39977,4.34232
470,0.725515,2.18648,2.32074,3.42526,3.23459
471,1.04398,2.17857,2.17063,3.0852,2.94798
472,1.14054,2.65787,2.54987,3.06477,3.17067
473,0.761772,2.52871,2.5808,4.93475,4.98406
474,0.725478,2.11437,1.97171,3.7496,3.78498
475,1.10676,2.29749,2.32279,3.55175,3.69354
476,0.759125,2.37075,2.45161,3.7977,3.62549
477,0.990128,2.30916,2.47303,4.99757,5.18473
478,0.843541,1.97171,2.08937,4.40975,4.50413
479,1.16945,2.19844,2.20788,4.40554,4.43115
480,0.978488,2.43828,2.29474,3.35699,3.41644
481,1.08782,2.42425,2.50456,2.9298,3.03653
482,0.784402,2.47637,2.38491,4.34446,4.25796
483,0.679497,2.49342,2.37909,2.54164,2.74598
484,1.04166,2.43992,2.71143,3.43045,3.37458
485,0.949302,2.47471,2.35729,4.1637,4.08439
486,0.615246,2.27919,2.51363,3.35727,3.39235
487,0.80973,2.186,2.2173,7.59682,7.65191
488,0.804953,1.9772,2.0219,4.47966,4.59526
489,0.840533,2.37564,2.40728,3.5107,3.72847
490,0.863428,2.2385,2.52975,4.3678,4.00674
491,1.18173,2.79586,2.72393,3.39875,3.66905
492,0.730558,2.21657,2.21186,10.6299,10.5905
493,0.810451,2.20263,2.00227,3.61118,3.62014
494,0.493259,2.06658,2.13857,3.52774,3.58145
495,1.04174,1.87642,2.07696,9.47335,9.52434
496,0.932216,2.45027,2.38495,3.72095,3.72061
497,0.548645,2.17006,2.07893,3.6471,3.87797
498,0.999806,2.28065,2.37972,3.46583,3.46547
499,0.783484,2.58769,2.67028,2.99657,3.15321
500,0.459609,2.88022,2.89961,3.95212,3.91961
501,1.00071,1.97719,2.09074,3.14062,3.23487
502,1.14134,2.12474,2.11729,3.92616,3.9725
503,1.09469,2.8069,2.471,3.31489,3.38453
504,0.703518,2.17361,2.09916,3.56034,3.6389
505,1.17643,2.52068,2.40211,3.99853,4.03397
506,0.685915,2.31652,2.28026,3.26729,3.30014
507,0.558296,2.27203,2.44927,2.78482,2.68769
508,0.822669,2.40477,2.69614,3.49876,3.32808
